county_name,tdot_region,tdot_code
Anderson,1,01
Bedford,3,02
Benton,4,03
Bledsoe,2,04
Blount,1,05
Bradley,2,06
Campbell,1,07
Cannon,2,08
Carroll,4,09
Carter,1,10
Cheatham,3,11
Chester,4,12
Claiborne,1,13
Clay,2,14
Cocke,1,15
Coffee,2,16
Crockett,4,17
Cumberland,2,18
Davidson,3,19
Decatur,4,20
Dekalb,2,21
Dickson,3,22
Dyer,4,23
Fayette,4,24
Fentress,2,25
Franklin,2,26
Gibson,4,27
Giles,3,28
Grainger,1,29
Greene,1,30
Grundy,2,31
Hamblen,1,32
Hamilton,2,33
Hancock,1,34
Hardeman,4,35
Hardin,4,36
Hawkins,1,37
Haywood,4,38
Henderson,4,39
Henry,4,40
Hickman,3,41
Houston,3,42
Humphreys,3,43
Jackson,2,44
Jefferson,1,45
Johnson,1,46
Knox,1,47
Lake,4,48
Lauderdale,4,49
Lawrence,3,50
Lewis,3,51
Lincoln,3,52
Loudon,1,53
McMinn,2,54
McNairy,4,55
Macon,3,56
Madison,4,57
Marion,2,58
Marshall,3,59
Maury,3,60
Meigs,2,61
Monroe,1,62
Montgomery,3,63
Moore,3,64
Morgan,1,65
Obion,4,66
Overton,2,67
Perry,3,68
Pickett,2,69
Polk,2,70
Putnam,2,71
Rhea,2,72
Roane,1,73
Robertson,3,74
Rutherford,3,75
Scott,1,76
Sequatchie,2,77
Sevier,1,78
Shelby,4,79
Smith,3,80
Stewart,3,81
Sullivan,1,82
Sumner,3,83
Tipton,4,84
Trousdale,3,85
Unicoi,1,86
Union,1,87
Van Buren,2,88
Warren,2,89
Washington,1,90
Wayne,3,91
Weakley,4,92
White,2,93
Williamson,3,94
Wilson,3,95
